driver,stint,compound,tire_age,lap_number,lap_time_seconds,fuel_corrected_pace,baseline_pace,delta_pace,year,circuit
GAS,2.0,MEDIUM,16.0,30.0,99.8,97.973,97.81700000000001,0.1559999999999917,2022,Bahrain Grand Prix
GAS,2.0,MEDIUM,17.0,31.0,100.874,98.984,97.81700000000001,1.1669999999999874,2022,Bahrain Grand Prix
GAS,3.0,HARD,2.0,34.0,97.324,95.245,95.39800000000001,-0.1530000000000058,2022,Bahrain Grand Prix
GAS,3.0,HARD,3.0,35.0,97.54,95.39800000000001,95.39800000000001,0.0,2022,Bahrain Grand Prix
GAS,3.0,HARD,4.0,36.0,99.827,97.622,95.39800000000001,2.2239999999999895,2022,Bahrain Grand Prix
GAS,3.0,HARD,5.0,37.0,99.596,97.328,95.39800000000001,1.9299999999999926,2022,Bahrain Grand Prix
GAS,3.0,HARD,6.0,38.0,98.221,95.89,95.39800000000001,0.4919999999999902,2022,Bahrain Grand Prix
GAS,3.0,HARD,7.0,39.0,98.552,96.158,95.39800000000001,0.7599999999999909,2022,Bahrain Grand Prix
GAS,3.0,HARD,8.0,40.0,98.204,95.747,95.39800000000001,0.34899999999998954,2022,Bahrain Grand Prix
GAS,3.0,HARD,9.0,41.0,98.301,95.781,95.39800000000001,0.38299999999999557,2022,Bahrain Grand Prix
GAS,3.0,HARD,10.0,42.0,98.329,95.746,95.39800000000001,0.34799999999998477,2022,Bahrain Grand Prix
GAS,3.0,HARD,11.0,43.0,98.478,95.832,95.39800000000001,0.4339999999999833,2022,Bahrain Grand Prix
GAS,3.0,HARD,12.0,44.0,98.704,95.99499999999999,95.39800000000001,0.59699999999998,2022,Bahrain Grand Prix
HAM,1.0,SOFT,3.0,1.0,101.555,101.555,98.703,2.852000000000004,2022,Bahrain Grand Prix
HAM,1.0,SOFT,4.0,2.0,99.002,98.939,98.703,0.23599999999999,2022,Bahrain Grand Prix
HAM,1.0,SOFT,5.0,3.0,99.075,98.949,98.703,0.2459999999999951,2022,Bahrain Grand Prix
HAM,1.0,SOFT,6.0,4.0,98.892,98.703,98.703,0.0,2022,Bahrain Grand Prix
HAM,1.0,SOFT,7.0,5.0,98.923,98.671,98.703,-0.031999999999996476,2022,Bahrain Grand Prix
HAM,1.0,SOFT,8.0,6.0,99.707,99.392,98.703,0.688999999999993,2022,Bahrain Grand Prix
HAM,1.0,SOFT,9.0,7.0,99.682,99.304,98.703,0.6009999999999991,2022,Bahrain Grand Prix
HAM,1.0,SOFT,10.0,8.0,99.758,99.317,98.703,0.6139999999999901,2022,Bahrain Grand Prix
HAM,1.0,SOFT,11.0,9.0,100.274,99.77,98.703,1.066999999999993,2022,Bahrain Grand Prix
HAM,1.0,SOFT,12.0,10.0,101.581,101.01400000000001,98.703,2.311000000000007,2022,Bahrain Grand Prix
HAM,2.0,HARD,3.0,13.0,99.33,98.574,97.282,1.2920000000000016,2022,Bahrain Grand Prix
HAM,2.0,HARD,4.0,14.0,99.309,98.49,97.282,1.2079999999999984,2022,Bahrain Grand Prix
